snapshot_date,rank,ticker,weight_pct,weight_norm_top10,company_name,target_date,fetched_asof_param
2007-06-30,1,NVDA,7.71,0.208041014570966,NVIDIA CORP,2007-06-30,2007-06-30
2007-06-30,2,AAPL,6.51,0.175661090124123,APPLE INC,2007-06-30,2007-06-30
2007-06-30,3,MSFT,5.17,0.1395035078251484,MICROSOFT CORP,2007-06-30,2007-06-30
2007-06-30,4,AMZN,3.56,0.0960604425256341,AMAZON COM INC,2007-06-30,2007-06-30
2007-06-30,5,GOOGL,3.1,0.0836481381543443,ALPHABET INC CLASS A,2007-06-30,2007-06-30
2007-06-30,6,AVGO,2.68,0.0723151645979492,BROADCOM INC,2007-06-30,2007-06-30
2007-06-30,7,GOOG,2.47,0.0666486778197517,ALPHABET INC CLASS C,2007-06-30,2007-06-30
2007-06-30,8,META,2.35,0.0634106853750674,META PLATFORMS INC CLASS A,2007-06-30,2007-06-30
2007-06-30,9,TSLA,1.93,0.0520777118186724,TESLA INC,2007-06-30,2007-06-30
2007-06-30,10,BRK-B,1.58,0.0426335671883432,BERKSHIRE HATHAWAY INC CLASS B,2007-06-30,2007-06-30
2007-12-31,1,XOM,3.97,0.1997986914947156,EXXON MOBIL CORP,2007-12-31,2007-12-31
2007-12-31,2,GEC,2.91,0.1464519375943633,GENERAL ELECTRIC,2007-12-31,2007-12-31
2007-12-31,3,MSFT,2.22,0.1117262204328132,MICROSOFT CORP,2007-12-31,2007-12-31
2007-12-31,4,T,1.95,0.0981378963261197,AT&T INC,2007-12-31,2007-12-31
2007-12-31,5,PG,1.77,0.0890790135883241,PROCTER & GAMBLE,2007-12-31,2007-12-31
2007-12-31,6,CVX,1.53,0.0770005032712632,CHEVRON CORP,2007-12-31,2007-12-31
2007-12-31,7,JNJ,1.48,0.0744841469552088,JOHNSON & JOHNSON,2007-12-31,2007-12-31
2007-12-31,8,BAC,1.42,0.0714645193759436,BANK OF AMERICA CORP,2007-12-31,2007-12-31
2007-12-31,9,AAPL,1.35,0.0679416205334675,APPLE INC,2007-12-31,2007-12-31
2007-12-31,10,CSCO,1.27,0.0639154504277805,CISCO SYSTEMS INC,2007-12-31,2007-12-31
2008-06-30,1,XOM,4.16,0.2134427911749615,EXXON MOBIL CORP,2008-06-30,2008-06-30
2008-06-30,2,GEC,2.38,0.1221139045664443,GENERAL ELECTRIC,2008-06-30,2008-06-30
2008-06-30,3,MSFT,1.97,0.1010774756285274,MICROSOFT CORP,2008-06-30,2008-06-30
2008-06-30,4,CVX,1.83,0.0938943047716777,CHEVRON CORP,2008-06-30,2008-06-30
2008-06-30,5,T,1.79,0.0918419702411493,AT&T INC,2008-06-30,2008-06-30
2008-06-30,6,PG,1.66,0.0851718830169317,PROCTER & GAMBLE,2008-06-30,2008-06-30
2008-06-30,7,JNJ,1.62,0.0831195484864032,JOHNSON & JOHNSON,2008-06-30,2008-06-30
2008-06-30,8,IBM,1.46,0.0749102103642893,INTERNATIONAL BUSINESS MACHINES CO,2008-06-30,2008-06-30
2008-06-30,9,AAPL,1.32,0.0677270395074397,APPLE INC,2008-06-30,2008-06-30
2008-06-30,10,COP,1.3,0.0667008722421754,CONOCOPHILLIPS,2008-06-30,2008-06-30
2008-12-31,1,XOM,5.16,0.231390134529148,EXXON MOBIL CORP,2008-12-31,2008-12-31
2008-12-31,2,PG,2.34,0.1049327354260089,PROCTER & GAMBLE,2008-12-31,2008-12-31
2008-12-31,3,GEC,2.16,0.0968609865470852,GENERAL ELECTRIC,2008-12-31,2008-12-31
2008-12-31,4,T,2.13,0.0955156950672645,AT&T INC,2008-12-31,2008-12-31
2008-12-31,5,JNJ,2.11,0.0946188340807175,JOHNSON & JOHNSON,2008-12-31,2008-12-31
2008-12-31,6,CVX,1.91,0.0856502242152466,CHEVRON CORP,2008-12-31,2008-12-31
2008-12-31,7,MSFT,1.89,0.0847533632286995,MICROSOFT CORP,2008-12-31,2008-12-31
2008-12-31,8,WMT,1.59,0.0713004484304932,WALMART INC,2008-12-31,2008-12-31
2008-12-31,9,PFE,1.52,0.0681614349775784,PFIZER INC,2008-12-31,2008-12-31
2008-12-31,10,JPM,1.49,0.0668161434977578,JPMORGAN CHASE,2008-12-31,2008-12-31
2009-06-30,1,XOM,4.23,0.2090954028670292,EXXON MOBIL CORP,2009-06-30,2009-06-30
2009-06-30,2,MSFT,2.26,0.1117152743450321,MICROSOFT CORP,2009-06-30,2009-06-30
2009-06-30,3,JNJ,1.94,0.0958971824023727,JOHNSON & JOHNSON,2009-06-30,2009-06-30
2009-06-30,4,PG,1.85,0.0914483440434997,PROCTER & GAMBLE,2009-06-30,2009-06-30
2009-06-30,5,T,1.82,0.0899653979238754,AT&T INC,2009-06-30,2009-06-30
2009-06-30,6,IBM,1.71,0.0845279288185862,INTERNATIONAL BUSINESS MACHINES CO,2009-06-30,2009-06-30
2009-06-30,7,JPM,1.65,0.0815620365793376,JPMORGAN CHASE,2009-06-30,2009-06-30
2009-06-30,8,CVX,1.65,0.0815620365793376,CHEVRON CORP,2009-06-30,2009-06-30
2009-06-30,9,AAPL,1.58,0.0781018289668808,APPLE INC,2009-06-30,2009-06-30
2009-06-30,10,GEC,1.54,0.0761245674740484,GENERAL ELECTRIC,2009-06-30,2009-06-30
2009-12-31,1,XOM,3.25,0.1683065769031589,EXXON MOBIL CORP,2009-12-31,2009-12-31
2009-12-31,2,MSFT,2.37,0.1227343345416882,MICROSOFT CORP,2009-12-31,2009-12-31
2009-12-31,3,AAPL,1.91,0.0989124805800103,APPLE INC,2009-12-31,2009-12-31
2009-12-31,4,JNJ,1.79,0.0926980838943552,JOHNSON & JOHNSON,2009-12-31,2009-12-31
2009-12-31,5,PG,1.78,0.0921802175038839,PROCTER & GAMBLE,2009-12-31,2009-12-31
2009-12-31,6,IBM,1.73,0.0895908855515277,INTERNATIONAL BUSINESS MACHINES CO,2009-12-31,2009-12-31
2009-12-31,7,T,1.66,0.0859658208182288,AT&T INC,2009-12-31,2009-12-31
2009-12-31,8,JPM,1.65,0.0854479544277576,JPMORGAN CHASE,2009-12-31,2009-12-31
2009-12-31,9,GEC,1.62,0.0838943552563438,GENERAL ELECTRIC,2009-12-31,2009-12-31
2009-12-31,10,CVX,1.55,0.080269290523045,CHEVRON CORP,2009-12-31,2009-12-31
2010-06-30,1,XOM,3.12,0.1640378548895898,EXXON MOBIL CORP,2010-06-30,2010-06-30
2010-06-30,2,AAPL,2.45,0.1288117770767612,APPLE INC,2010-06-30,2010-06-30
